Timestamp,"How (if at all) do the following AI technologies feature in your research? [AI Chatbots (e.g. ChatGPT, Claude, Perplexity)]","How (if at all) do the following AI technologies feature in your research? [Code assistants (e.g., GitHub Copilot)]","How (if at all) do the following AI technologies feature in your research? [Pattern recongition/classification tools (e.g. voice recognition, intelegent scanners, BirdNET)]",How (if at all) do the following AI technologies feature in your research? [Statistical model development],How (if at all) do the following AI technologies feature in your research? [Custom machine learning algorithms],How (if at all) do the following AI technologies feature in your research? [Other technologies],"If you use AI regularly, what tools do you use and for what tasks (limit to 3).",What emotions or sensations do you experience when using AI technologies?,What concerns do you have (if any) regarding AI use in research?,What would you like to discuss/learn more about regarding AI use in research?
11/24/2025 10:34:16,Regularly,Occasionally,Not at all,"Not yet, but I'm curious",Occasionally,Not at all,chatgpt; outline and brainstorm,making life easier,ethical use,how to use it in a more ethical way
11/24/2025 10:36:28,Regularly,Regularly,"Not yet, but I'm curious",Not at all,"Not yet, but I'm curious","Not yet, but I'm curious","Chatbots (Perplexity, ChatGPT) for brainstorming, resource discovery. Elicit for scientific paper discovery. Code assistants (V0, GitHub Copilot) for code development and troubleshooting.","Relief, suspicion","Ethical concerns about data use, how widespread, privatized chatbots will impact open-access resources like Wikipedia and Stack Overflow","Ethical use, transparency, and reliability and repeatability of AI use in research"
11/24/2025 10:55:26,"Not yet, but I'm curious","Not yet, but I'm curious","Not yet, but I'm curious","Not yet, but I'm curious","Not yet, but I'm curious",Occasionally,,"curiosity, wonder, skepticism",Little when it comes to coding help for analyses because I can fact check them myself. A lot when I can't easily fact check the output.,Yes!
11/24/2025 12:44:21,Regularly,Regularly,Not at all,Occasionally,"Not yet, but I'm curious","Not yet, but I'm curious",Gemini ,mixed,confusion,yes
11/24/2025 13:44:33,Not at all,Occasionally,Not at all,"Not yet, but I'm curious",Not at all,Not at all,I very occasionally willfully use AI when using the GitHub copilot. I am sure I am using AI or AI-derived products regularly without my knowledge/consent.,"Fear, uncertainty, hesitancy, doubt, inadequacy. Disinterest.","I recently read ""unmasking AI"" and became aware of the Algorithmic Justice League. Are AI research tools any better than 'commercial'/industrial AI tools in how they are built to minimize bias? A colleague once related how their perception of science as a community/profession was shattered as they learned about all the misconducts of fellow scientists - but even though scientists are humans and are as flawed as the general populace, that colleague's misconception persists within our field, and about our field when the 'public' looks at us as scientists. Do AI developers and users in science believe that their AI is  inherently ""unbiased"" or ""ethical"" because it is operating within the (not-truly) unbiased science space? How are research tools handling bias? How do users know what biases their AI tool might have?

How do I protect my work (publications, public data sets, GitHub repos, stuff I though wasn't public) from being misused by AI without my knowledge/permission? For example, is ChatGPT scraping someone else's GitHub repos when I ask it how to write a dplyr pipeline or something much more complex? Is the attribution clear, correct, and factual (ie, not making up citations and sources). 

If I am not ready for AI because of these concerns, but my colleagues are forging ahead (because they don't share the concerns or have the background to understand the AI/models they are using), am I going to be left behind?

Are outcomes perfectly reproducible every time? (And for the same reasons?)","Teaching old dogs new tricks: what is the learning curve and relative time commitment for people well versed in existing tools? Do we have to use AI to 1) ""keep up"", 2) use the tools we already have (e.g. R). What if we are no longer in the firehose learning mode of grad school/postdoc, and often distracted by very-non analytical tasks. Why do I now have to learn another 'language' to interface with my analytical tools?"
11/24/2025 14:43:55,Occasionally,"Not yet, but I'm curious","Not yet, but I'm curious","Not yet, but I'm curious","Not yet, but I'm curious","Not yet, but I'm curious","Getting started in writing drafts (e.g., cover letters for jobs), brainstorming ideas, re-writing for clarity","Excitement, Suspicion, Reservation",Confidentiality,"It's support for data analysis (coding and statistics), perhaps"
11/24/2025 22:30:20,Regularly,Regularly,"Not yet, but I'm curious",Occasionally,"Not yet, but I'm curious","Not yet, but I'm curious",To check grammar and coherence of writing ,"Security for some things, but for others is necessary double check",The mistakes ,New tools or advices to use it in research 
11/25/2025 11:46:35,Regularly,Not at all,Not at all,Regularly,Occasionally,Not at all,Code for stats analysis and plots,"Fun, and frustration","That the code is wrong in ways I can't detect, but the same is true for any stats program and R",Github copilot
11/25/2025 11:46:45,,,,,,,,,,
11/25/2025 14:27:11,Occasionally,Not at all,Not at all,Not at all,Not at all,Not at all,Checking code,Worried,,
11/25/2025 19:41:36,Regularly,"Not yet, but I'm curious",Not at all,"Not yet, but I'm curious","Not yet, but I'm curious",,"I use ChatGPT regularly, in particular as a tutor to help me develop code in the R language. ","Using ChatGPT illicits a strange mix of awe and frustration. Awe at its abilities and frustration with its bumbling approach, in particular its certainty in its answers and its inability to remember previous prompts and ""conversations"". ","How my data are being stored and used, the effect of AI on other means of code troubleshooting (including Stackoverflow and similar forums). I also wonder whether my increasing reliance on ChatGPT as a tutor will diminish my ability to learn and retain what I've learned.",I'd appreciate hearing from others about how they are using AI in their research and discussing approaches for using AI as productively as possible. 
12/3/2025 12:31:55,,,,,,,,,energy consumption; is it worth it?,"Is the new posit product Positron worth transitioning to, from RStudio, for its incorporation of AI assistant type features? "
